Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2016,December,Justice Institutions and Immigration Facilities,Total,"1,681",
2016,December,Unincorporated Vic, Unincorporated Vic,137,
2016,December,Unincorporated Vic,Total,137,
2015,December,1 North West Metro, Banyule,"9,228","7,318.7"
2015,December,1 North West Metro, Brimbank,"19,229","9,573.3"
2015,December,1 North West Metro, Darebin,"15,342","10,095.1"
2015,December,1 North West Metro, Hobsons Bay,"6,896","7,522.3"
2015,December,1 North West Metro, Hume,"20,496","10,342.3"
2015,December,1 North West Metro, Maribyrnong,"8,680","10,237.9"
2015,December,1 North West Metro, Melbourne,"34,395","25,129.3"
2015,December,1 North West Metro, Melton,"11,019","8,167.4"
2015,December,1 North West Metro, Moonee Valley,"9,621","8,002.1"
2015,December,1 North West Metro, Moreland,"14,045","8,366.6"
2015,December,1 North West Metro, Nillumbik,"3,022","4,746.0"
2015,December,1 North West Metro, Whittlesea,"13,733","6,976.5"
2015,December,1 North West Metro, Wyndham,"14,315","6,695.0"
2015,December,1 North West Metro, Yarra,"12,954","14,405.7"
2015,December,1 North West Metro,Total,"192,975","9,757.5"
2015,December,2 Eastern, Alpine,489,"3,934.3"
2015,December,2 Eastern, Bass Coast,"2,789","8,561.5"
2015,December,2 Eastern, Baw Baw,"3,771","7,883.0"
2015,December,2 Eastern, Benalla,"1,150","8,259.7"
2015,December,2 Eastern, Boroondara,"7,457","4,267.2"
2015,December,2 Eastern, East Gippsland,"4,193","9,345.2"
2015,December,2 Eastern, Greater Shepparton,"7,650","11,862.5"
2015,December,2 Eastern, Indigo,515,"3,234.5"
2015,December,2 Eastern, Knox,"10,122","6,378.1"
2015,December,2 Eastern, Latrobe,"13,270","17,868.2"
2015,December,2 Eastern, Manningham,"4,382","3,627.9"
2015,December,2 Eastern, Mansfield,414,"4,853.5"
2015,December,2 Eastern, Maroondah,"7,780","6,883.6"
2015,December,2 Eastern, Mitchell,"4,118","10,227.5"
2015,December,2 Eastern, Moira,"1,538","5,251.3"
2015,December,2 Eastern, Monash,"10,097","5,337.4"
2015,December,2 Eastern, Murrindindi,647,"4,672.2"
2015,December,2 Eastern, South Gippsland,"1,343","4,666.3"
2015,December,2 Eastern, Strathbogie,506,"4,973.0"
2015,December,2 Eastern, Towong,194,"3,230.6"
2015,December,2 Eastern, Wangaratta,"2,410","8,563.4"
2015,December,2 Eastern, Wellington,"4,398","10,187.2"
2015,December,2 Eastern, Whitehorse,"8,361","5,016.2"
2015,December,2 Eastern, Wodonga,"3,554","9,061.0"
2015,December,2 Eastern, Yarra Ranges,"7,910","5,156.8"
2015,December,2 Eastern,Total,"109,058","6,689.7"
2015,December,3 Southern Metro, Bayside,"4,506","4,449.6"
2015,December,3 Southern Metro, Cardinia,"7,321","7,931.9"
2015,December,3 Southern Metro, Casey,"21,033","7,022.0"
2015,December,3 Southern Metro, Frankston,"14,832","10,764.2"
2015,December,3 Southern Metro, Glen Eira,"6,488","4,446.2"
2015,December,3 Southern Metro, Greater Dandenong,"19,484","12,484.9"
2015,December,3 Southern Metro, Kingston,"11,022","7,054.4"
2015,December,3 Southern Metro, Mornington Peninsula,"11,047","6,955.2"
2015,December,3 Southern Metro, Port Phillip,"12,456","11,708.9"
2015,December,3 Southern Metro, Stonnington,"10,106","9,355.0"
2015,December,3 Southern Metro,Total,"118,295","8,089.4"
2015,December,4 Western, Ararat,"1,257","10,795.3"
2015,December,4 Western, Ballarat,"11,307","11,142.2"
2015,December,4 Western, Buloke,222,"3,520.5"
2015,December,4 Western, Campaspe,"3,069","8,199.5"
2015,December,4 Western, Central Goldfields,"1,264","9,760.6"
2015,December,4 Western, Colac-Otway,"1,677","7,899.2"
2015,December,4 Western, Corangamite,681,"4,184.6"
2015,December,4 Western, Gannawarra,587,"5,571.4"
2015,December,4 Western, Glenelg,"1,583","8,026.6"
2015,December,4 Western, Golden Plains,672,"3,141.9"
2015,December,4 Western, Greater Bendigo,"8,413","7,654.6"
2015,December,4 Western, Greater Geelong,"20,854","8,953.1"
2015,December,4 Western, Hepburn,825,"5,380.2"
2015,December,4 Western, Hindmarsh,219,"3,770.7"
2015,December,4 Western, Horsham,"3,043","15,374.9"
2015,December,4 Western, Loddon,424,"5,630.1"
2015,December,4 Western, Macedon Ranges,"2,126","4,584.6"
2015,December,4 Western, Mildura,"6,170","11,393.0"
2015,December,4 Western, Moorabool,"2,177","6,857.1"
2015,December,4 Western, Mount Alexander,961,"5,113.3"
2015,December,4 Western, Moyne,586,"3,532.0"
2015,December,4 Western, Northern Grampians,"1,150","9,876.3"
2015,December,4 Western, Pyrenees,496,"6,909.0"
2015,December,4 Western, Queenscliffe,175,"5,966.6"
2015,December,4 Western, Southern Grampians,"1,149","7,109.3"
2015,December,4 Western, Surf Coast,"1,540","5,198.3"
2015,December,4 Western, Swan Hill,"2,269","10,860.1"
2015,December,4 Western, Warrnambool,"2,798","8,228.2"
2015,December,4 Western, West Wimmera,157,"3,950.7"
2015,December,4 Western, Yarriambiack,459,"6,724.3"
2015,December,4 Western,Total,"78,310","8,233.1"
2015,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,333",
2015,December,Justice Institutions and Immigration Facilities,Total,"1,333",
2015,December,Unincorporated Vic, Unincorporated Vic,118,
2015,December,Unincorporated Vic,Total,118,
2014,December,1 North West Metro, Banyule,"8,933","7,140.3"
2014,December,1 North West Metro, Brimbank,"17,368","8,751.0"
2014,December,1 North West Metro, Darebin,"14,482","9,686.2"
2014,December,1 North West Metro, Hobsons Bay,"7,025","7,769.6"
2014,December,1 North West Metro, Hume,"17,760","9,284.9"
2014,December,1 North West Metro, Maribyrnong,"8,155","9,889.3"
2014,December,1 North West Metro, Melbourne,"33,040","25,817.5"
2014,December,1 North West Metro, Melton,"9,827","7,599.6"
2014,December,1 North West Metro, Moonee Valley,"8,484","7,204.3"
2014,December,1 North West Metro, Moreland,"12,696","7,736.8"
2014,December,1 North West Metro, Nillumbik,"2,050","3,231.8"
2014,December,1 North West Metro, Whittlesea,"13,590","7,232.6"
2014,December,1 North West Metro, Wyndham,"12,974","6,438.3"
2014,December,1 North West Metro, Yarra,"12,859","14,741.8"
2014,December,1 North West Metro,Total,"179,243","9,352.8"
2014,December,2 Eastern, Alpine,467,"3,779.8"
2014,December,2 Eastern, Bass Coast,"2,572","8,058.4"
2014,December,2 Eastern, Baw Baw,"3,810","8,168.3"
2014,December,2 Eastern, Benalla,"1,164","8,375.3"
2014,December,2 Eastern, Boroondara,"6,789","3,932.0"
2014,December,2 Eastern, East Gippsland,"3,915","8,842.1"
2014,December,2 Eastern, Greater Shepparton,"7,261","11,359.7"
2014,December,2 Eastern, Indigo,441,"2,803.2"
2014,December,2 Eastern, Knox,"9,540","6,059.7"
2014,December,2 Eastern, Latrobe,"11,883","16,029.1"
2014,December,2 Eastern, Manningham,"4,026","3,370.8"
2014,December,2 Eastern, Mansfield,571,"6,801.7"
2014,December,2 Eastern, Maroondah,"7,763","6,967.3"
2014,December,2 Eastern, Mitchell,"3,289","8,415.2"
2014,December,2 Eastern, Moira,"1,423","4,890.0"
2014,December,2 Eastern, Monash,"9,148","4,914.3"
2014,December,2 Eastern, Murrindindi,671,"4,902.5"
2014,December,2 Eastern, South Gippsland,"1,201","4,210.9"
2014,December,2 Eastern, Strathbogie,493,"4,921.1"
2014,December,2 Eastern, Towong,196,"3,276.5"
2014,December,2 Eastern, Wangaratta,"2,511","9,012.3"
2014,December,2 Eastern, Wellington,"3,902","9,085.4"
2014,December,2 Eastern, Whitehorse,"7,330","4,460.8"
2014,December,2 Eastern, Wodonga,"3,172","8,267.1"
2014,December,2 Eastern, Yarra Ranges,"7,055","4,642.4"
2014,December,2 Eastern,Total,"100,593","6,247.1"
2014,December,3 Southern Metro, Bayside,"4,260","4,268.7"
2014,December,3 Southern Metro, Cardinia,"5,595","6,352.9"
2014,December,3 Southern Metro, Casey,"17,612","6,116.6"
2014,December,3 Southern Metro, Frankston,"14,902","10,942.8"
2014,December,3 Southern Metro, Glen Eira,"5,353","3,725.3"
2014,December,3 Southern Metro, Greater Dandenong,"15,962","10,492.0"
2014,December,3 Southern Metro, Kingston,"9,468","6,139.7"
2014,December,3 Southern Metro, Mornington Peninsula,"10,441","6,671.6"
2014,December,3 Southern Metro, Port Phillip,"11,886","11,379.5"
2014,December,3 Southern Metro, Stonnington,"9,609","9,074.2"
2014,December,3 Southern Metro,Total,"105,088","7,354.6"
2014,December,4 Western, Ararat,"1,018","8,806.2"
2014,December,4 Western, Ballarat,"10,221","10,229.8"
2014,December,4 Western, Buloke,216,"3,409.6"
2014,December,4 Western, Campaspe,"2,948","7,895.4"
2014,December,4 Western, Central Goldfields,"1,097","8,514.4"
2014,December,4 Western, Colac-Otway,"1,535","7,264.2"
2014,December,4 Western, Corangamite,671,"4,106.5"
2014,December,4 Western, Gannawarra,546,"5,183.2"
2014,December,4 Western, Glenelg,"1,730","8,757.3"
2014,December,4 Western, Golden Plains,577,"2,760.9"
2014,December,4 Western, Greater Bendigo,"8,641","8,004.3"
2014,December,4 Western, Greater Geelong,"18,523","8,133.3"
2014,December,4 Western, Hepburn,616,"4,056.9"
2014,December,4 Western, Hindmarsh,228,"3,901.4"
2014,December,4 Western, Horsham,"2,379","12,046.8"
2014,December,4 Western, Loddon,531,"7,067.7"
2014,December,4 Western, Macedon Ranges,"2,088","4,591.9"
2014,December,4 Western, Mildura,"5,937","11,048.3"
2014,December,4 Western, Moorabool,"1,927","6,202.9"
2014,December,4 Western, Mount Alexander,"1,012","5,470.0"
2014,December,4 Western, Moyne,646,"3,912.3"
2014,December,4 Western, Northern Grampians,936,"7,947.7"
2014,December,4 Western, Pyrenees,451,"6,399.9"
2014,December,4 Western, Queenscliffe,126,"4,242.4"
2014,December,4 Western, Southern Grampians,953,"5,862.8"
2014,December,4 Western, Surf Coast,"1,411","4,886.7"
2014,December,4 Western, Swan Hill,"2,197","10,491.9"
2014,December,4 Western, Warrnambool,"3,001","8,897.4"
2014,December,4 Western, West Wimmera,194,"4,804.4"
2014,December,4 Western, Yarriambiack,355,"5,127.1"
2014,December,4 Western,Total,"72,711","7,747.4"
2014,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,982,
2014,December,Justice Institutions and Immigration Facilities,Total,982,
2014,December,Unincorporated Vic, Unincorporated Vic,116,
2014,December,Unincorporated Vic,Total,116,
2013,December,1 North West Metro, Banyule,"9,512","7,651.6"
2013,December,1 North West Metro, Brimbank,"19,337","9,857.3"
2013,December,1 North West Metro, Darebin,"12,267","8,329.5"
2013,December,1 North West Metro, Hobsons Bay,"6,672","7,480.8"
2013,December,1 North West Metro, Hume,"15,311","8,281.9"
2013,December,1 North West Metro, Maribyrnong,"8,510","10,666.6"
2013,December,1 North West Metro, Melbourne,"32,474","27,355.5"
2013,December,1 North West Metro, Melton,"8,963","7,232.0"
2013,December,1 North West Metro, Moonee Valley,"7,663","6,636.7"
2013,December,1 North West Metro, Moreland,"12,059","7,523.6"
2013,December,1 North West Metro, Nillumbik,"2,167","3,430.2"
2013,December,1 North West Metro, Whittlesea,"12,900","7,195.8"
2013,December,1 North West Metro, Wyndham,"12,407","6,522.8"
2013,December,1 North West Metro, Yarra,"11,200","13,339.4"
2013,December,1 North West Metro,Total,"171,442","9,234.1"
2013,December,2 Eastern, Alpine,494,"4,021.8"
2013,December,2 Eastern, Bass Coast,"2,492","7,953.8"
2013,December,2 Eastern, Baw Baw,"3,169","6,945.4"
2013,December,2 Eastern, Benalla,"1,105","7,962.2"
2013,December,2 Eastern, Boroondara,"7,002","4,107.1"
2013,December,2 Eastern, East Gippsland,"3,968","9,057.5"
2013,December,2 Eastern, Greater Shepparton,"6,416","10,144.8"
2013,December,2 Eastern, Indigo,516,"3,306.6"
2013,December,2 Eastern, Knox,"9,267","5,927.2"
2013,December,2 Eastern, Latrobe,"10,232","13,803.9"
2013,December,2 Eastern, Manningham,"4,097","3,461.6"
2013,December,2 Eastern, Mansfield,347,"4,192.8"
2013,December,2 Eastern, Maroondah,"6,814","6,206.9"
2013,December,2 Eastern, Mitchell,"2,923","7,735.3"
2013,December,2 Eastern, Moira,"1,456","5,037.2"
2013,December,2 Eastern, Monash,"8,654","4,722.4"
2013,December,2 Eastern, Murrindindi,694,"5,116.9"
2013,December,2 Eastern, South Gippsland,"1,257","4,445.9"
2013,December,2 Eastern, Strathbogie,521,"5,280.2"
2013,December,2 Eastern, Towong,305,"5,116.6"
2013,December,2 Eastern, Wangaratta,"2,409","8,712.5"
2013,December,2 Eastern, Wellington,"4,096","9,587.8"
2013,December,2 Eastern, Whitehorse,"7,099","4,379.9"
2013,December,2 Eastern, Wodonga,"2,757","7,337.3"
2013,December,2 Eastern, Yarra Ranges,"6,502","4,308.8"
2013,December,2 Eastern,Total,"94,592","5,942.9"
2013,December,3 Southern Metro, Bayside,"4,301","4,377.5"
2013,December,3 Southern Metro, Cardinia,"6,194","7,322.3"
2013,December,3 Southern Metro, Casey,"15,570","5,600.3"
2013,December,3 Southern Metro, Frankston,"14,189","10,561.1"
2013,December,3 Southern Metro, Glen Eira,"5,973","4,228.4"
2013,December,3 Southern Metro, Greater Dandenong,"16,102","10,843.0"
2013,December,3 Southern Metro, Kingston,"9,315","6,114.8"
2013,December,3 Southern Metro, Mornington Peninsula,"9,388","6,096.1"
2013,December,3 Southern Metro, Port Phillip,"11,170","10,934.3"
2013,December,3 Southern Metro, Stonnington,"9,386","9,069.7"
2013,December,3 Southern Metro,Total,"101,588","7,272.1"
2013,December,4 Western, Ararat,"1,308","11,383.8"
2013,December,4 Western, Ballarat,"9,979","10,147.0"
2013,December,4 Western, Buloke,218,"3,412.6"
2013,December,4 Western, Campaspe,"2,622","7,045.9"
2013,December,4 Western, Central Goldfields,"1,041","8,123.3"
2013,December,4 Western, Colac-Otway,"1,336","6,351.3"
2013,December,4 Western, Corangamite,619,"3,772.1"
2013,December,4 Western, Gannawarra,536,"5,092.2"
2013,December,4 Western, Glenelg,"1,479","7,470.8"
2013,December,4 Western, Golden Plains,518,"2,544.0"
2013,December,4 Western, Greater Bendigo,"8,774","8,280.7"
2013,December,4 Western, Greater Geelong,"16,622","7,441.9"
2013,December,4 Western, Hepburn,594,"3,954.2"
2013,December,4 Western, Hindmarsh,241,"4,118.3"
2013,December,4 Western, Horsham,"1,791","9,094.1"
2013,December,4 Western, Loddon,376,"5,001.3"
2013,December,4 Western, Macedon Ranges,"1,810","4,058.8"
2013,December,4 Western, Mildura,"5,566","10,471.1"
2013,December,4 Western, Moorabool,"1,860","6,116.4"
2013,December,4 Western, Mount Alexander,922,"5,052.9"
2013,December,4 Western, Moyne,554,"3,371.7"
2013,December,4 Western, Northern Grampians,"1,974","16,616.2"
2013,December,4 Western, Pyrenees,412,"5,938.3"
2013,December,4 Western, Queenscliffe,80,"2,664.9"
2013,December,4 Western, Southern Grampians,"1,138","6,958.1"
2013,December,4 Western, Surf Coast,"1,196","4,236.9"
2013,December,4 Western, Swan Hill,"1,752","8,341.7"
2013,December,4 Western, Warrnambool,"2,537","7,590.6"
2013,December,4 Western, West Wimmera,146,"3,540.3"
2013,December,4 Western, Yarriambiack,312,"4,436.9"
2013,December,4 Western,Total,"68,313","7,372.4"
2013,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,376",
2013,December,Justice Institutions and Immigration Facilities,Total,"1,376",
2013,December,Unincorporated Vic, Unincorporated Vic,71,
2013,December,Unincorporated Vic,Total,71,
2012,December,1 North West Metro, Banyule,"7,243","5,860.8"
2012,December,1 North West Metro, Brimbank,"18,463","9,528.1"
2012,December,1 North West Metro, Darebin,"11,525","7,949.0"
2012,December,1 North West Metro, Hobsons Bay,"6,921","7,834.6"
2012,December,1 North West Metro, Hume,"15,346","8,563.5"
2012,December,1 North West Metro, Maribyrnong,"8,993","11,652.1"
2012,December,1 North West Metro, Melbourne,"34,757","32,308.7"
2012,December,1 North West Metro, Melton,"8,453","7,143.6"
2012,December,1 North West Metro, Moonee Valley,"8,471","7,452.1"
2012,December,1 North West Metro, Moreland,"11,778","7,503.5"
2012,December,1 North West Metro, Nillumbik,"1,813","2,880.7"
2012,December,1 North West Metro, Whittlesea,"12,217","7,186.8"
2012,December,1 North West Metro, Wyndham,"13,030","7,274.0"
2012,December,1 North West Metro, Yarra,"10,828","13,323.8"
2012,December,1 North West Metro,Total,"169,838","9,451.5"
2012,December,2 Eastern, Alpine,405,"3,324.3"
2012,December,2 Eastern, Bass Coast,"2,256","7,322.1"
2012,December,2 Eastern, Baw Baw,"2,775","6,235.1"
2012,December,2 Eastern, Benalla,905,"6,534.8"
2012,December,2 Eastern, Boroondara,"6,842","4,060.9"
2012,December,2 Eastern, East Gippsland,"3,196","7,376.1"
2012,December,2 Eastern, Greater Shepparton,"6,050","9,670.4"
2012,December,2 Eastern, Indigo,485,"3,138.3"
2012,December,2 Eastern, Knox,"8,733","5,619.5"
2012,December,2 Eastern, Latrobe,"9,859","13,322.3"
2012,December,2 Eastern, Manningham,"3,693","3,144.6"
2012,December,2 Eastern, Mansfield,320,"3,952.1"
2012,December,2 Eastern, Maroondah,"6,553","6,043.3"
2012,December,2 Eastern, Mitchell,"2,573","7,071.8"
2012,December,2 Eastern, Moira,"1,274","4,442.9"
2012,December,2 Eastern, Monash,"8,929","4,952.0"
2012,December,2 Eastern, Murrindindi,608,"4,518.4"
2012,December,2 Eastern, South Gippsland,"1,187","4,250.5"
2012,December,2 Eastern, Strathbogie,486,"4,987.7"
2012,December,2 Eastern, Towong,270,"4,545.5"
2012,December,2 Eastern, Wangaratta,"2,306","8,404.4"
2012,December,2 Eastern, Wellington,"3,624","8,538.1"
2012,December,2 Eastern, Whitehorse,"7,112","4,454.4"
2012,December,2 Eastern, Wodonga,"3,311","9,007.6"
2012,December,2 Eastern, Yarra Ranges,"6,571","4,384.6"
2012,December,2 Eastern,Total,"90,323","5,741.5"
2012,December,3 Southern Metro, Bayside,"4,312","4,446.7"
2012,December,3 Southern Metro, Cardinia,"5,016","6,237.1"
2012,December,3 Southern Metro, Casey,"15,014","5,576.4"
2012,December,3 Southern Metro, Frankston,"13,469","10,188.8"
2012,December,3 Southern Metro, Glen Eira,"5,515","3,964.3"
2012,December,3 Southern Metro, Greater Dandenong,"14,960","10,309.0"
2012,December,3 Southern Metro, Kingston,"9,319","6,194.7"
2012,December,3 Southern Metro, Mornington Peninsula,"9,342","6,158.2"
2012,December,3 Southern Metro, Port Phillip,"10,970","10,981.8"
2012,December,3 Southern Metro, Stonnington,"8,709","8,587.9"
2012,December,3 Southern Metro,Total,"96,626","7,071.1"
2012,December,4 Western, Ararat,"1,176","10,315.8"
2012,December,4 Western, Ballarat,"9,543","9,865.8"
2012,December,4 Western, Buloke,309,"4,802.6"
2012,December,4 Western, Campaspe,"2,622","7,078.6"
2012,December,4 Western, Central Goldfields,956,"7,519.3"
2012,December,4 Western, Colac-Otway,"1,420","6,793.6"
2012,December,4 Western, Corangamite,827,"5,021.3"
2012,December,4 Western, Gannawarra,527,"5,020.0"
2012,December,4 Western, Glenelg,"1,332","6,718.8"
2012,December,4 Western, Golden Plains,489,"2,494.4"
2012,December,4 Western, Greater Bendigo,"7,206","6,935.2"
2012,December,4 Western, Greater Geelong,"15,975","7,289.5"
2012,December,4 Western, Hepburn,687,"4,634.1"
2012,December,4 Western, Hindmarsh,246,"4,200.1"
2012,December,4 Western, Horsham,"2,813","14,346.2"
2012,December,4 Western, Loddon,391,"5,193.3"
2012,December,4 Western, Macedon Ranges,"1,641","3,747.1"
2012,December,4 Western, Mildura,"5,437","10,361.1"
2012,December,4 Western, Moorabool,"1,613","5,493.3"
2012,December,4 Western, Mount Alexander,818,"4,531.1"
2012,December,4 Western, Moyne,637,"3,907.0"
2012,December,4 Western, Northern Grampians,911,"7,610.7"
2012,December,4 Western, Pyrenees,310,"4,519.0"
2012,December,4 Western, Queenscliffe,123,"4,023.6"
2012,December,4 Western, Southern Grampians,"1,002","6,087.1"
2012,December,4 Western, Surf Coast,"1,387","5,038.1"
2012,December,4 Western, Swan Hill,"1,797","8,569.0"
2012,December,4 Western, Warrnambool,"2,317","7,008.7"
2012,December,4 Western, West Wimmera,167,"3,963.0"
2012,December,4 Western, Yarriambiack,369,"5,200.8"
2012,December,4 Western,Total,"65,048","7,119.2"
2012,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,043",
2012,December,Justice Institutions and Immigration Facilities,Total,"1,043",
2012,December,Unincorporated Vic, Unincorporated Vic,126,
2012,December,Unincorporated Vic,Total,126,
2011,December,1 North West Metro, Banyule,"6,781","5,513.8"
2011,December,1 North West Metro, Brimbank,"16,886","8,817.9"
2011,December,1 North West Metro, Darebin,"11,398","7,973.9"
2011,December,1 North West Metro, Hobsons Bay,"5,707","6,530.1"
2011,December,1 North West Metro, Hume,"13,930","7,992.4"
2011,December,1 North West Metro, Maribyrnong,"8,641","11,497.7"
2011,December,1 North West Metro, Melbourne,"29,659","29,588.0"
2011,December,1 North West Metro, Melton,"7,395","6,565.0"
2011,December,1 North West Metro, Moonee Valley,"7,244","6,457.5"
2011,December,1 North West Metro, Moreland,"10,931","7,086.7"
2011,December,1 North West Metro, Nillumbik,"1,996","3,182.6"
2011,December,1 North West Metro, Whittlesea,"10,487","6,521.8"
2011,December,1 North West Metro, Wyndham,"11,298","6,777.5"
2011,December,1 North West Metro, Yarra,"10,437","13,227.6"
2011,December,1 North West Metro,Total,"152,790","8,767.5"
2011,December,2 Eastern, Alpine,357,"2,958.2"
2011,December,2 Eastern, Bass Coast,"1,970","6,516.1"
2011,December,2 Eastern, Baw Baw,"2,217","5,109.6"
2011,December,2 Eastern, Benalla,925,"6,694.2"
2011,December,2 Eastern, Boroondara,"5,901","3,532.2"
2011,December,2 Eastern, East Gippsland,"3,072","7,173.2"
2011,December,2 Eastern, Greater Shepparton,"5,881","9,524.8"
2011,December,2 Eastern, Indigo,457,"2,983.6"
2011,December,2 Eastern, Knox,"7,990","5,167.3"
2011,December,2 Eastern, Latrobe,"8,530","11,560.1"
2011,December,2 Eastern, Manningham,"4,141","3,546.9"
2011,December,2 Eastern, Mansfield,311,"3,915.9"
2011,December,2 Eastern, Maroondah,"5,967","5,559.9"
2011,December,2 Eastern, Mitchell,"2,590","7,377.9"
2011,December,2 Eastern, Moira,"1,515","5,333.4"
2011,December,2 Eastern, Monash,"7,423","4,185.6"
2011,December,2 Eastern, Murrindindi,555,"4,162.0"
2011,December,2 Eastern, South Gippsland,"1,032","3,751.1"
2011,December,2 Eastern, Strathbogie,459,"4,782.2"
2011,December,2 Eastern, Towong,227,"3,835.8"
2011,December,2 Eastern, Wangaratta,"2,167","7,963.4"
2011,December,2 Eastern, Wellington,"2,829","6,724.8"
2011,December,2 Eastern, Whitehorse,"6,101","3,872.7"
2011,December,2 Eastern, Wodonga,"2,965","8,230.4"
2011,December,2 Eastern, Yarra Ranges,"5,981","4,016.8"
2011,December,2 Eastern,Total,"81,563","5,242.4"
2011,December,3 Southern Metro, Bayside,"3,598","3,743.3"
2011,December,3 Southern Metro, Cardinia,"4,233","5,582.1"
2011,December,3 Southern Metro, Casey,"14,381","5,504.0"
2011,December,3 Southern Metro, Frankston,"11,515","8,833.9"
2011,December,3 Southern Metro, Glen Eira,"5,505","4,013.8"
2011,December,3 Southern Metro, Greater Dandenong,"13,900","9,777.2"
2011,December,3 Southern Metro, Kingston,"8,585","5,788.8"
2011,December,3 Southern Metro, Mornington Peninsula,"8,637","5,786.1"
2011,December,3 Southern Metro, Port Phillip,"11,093","11,403.6"
2011,December,3 Southern Metro, Stonnington,"8,362","8,459.0"
2011,December,3 Southern Metro,Total,"89,809","6,719.2"
2011,December,4 Western, Ararat,961,"8,484.9"
2011,December,4 Western, Ballarat,"9,494","9,974.3"
2011,December,4 Western, Buloke,314,"4,856.9"
2011,December,4 Western, Campaspe,"2,247","6,096.9"
2011,December,4 Western, Central Goldfields,917,"7,289.9"
2011,December,4 Western, Colac-Otway,"1,371","6,591.7"
2011,December,4 Western, Corangamite,650,"3,933.2"
2011,December,4 Western, Gannawarra,597,"5,711.3"
2011,December,4 Western, Glenelg,"1,411","7,109.0"
2011,December,4 Western, Golden Plains,382,"2,015.0"
2011,December,4 Western, Greater Bendigo,"6,087","5,967.9"
2011,December,4 Western, Greater Geelong,"14,545","6,738.9"
2011,December,4 Western, Hepburn,660,"4,511.6"
2011,December,4 Western, Hindmarsh,219,"3,739.8"
2011,December,4 Western, Horsham,"1,830","9,373.6"
2011,December,4 Western, Loddon,435,"5,764.6"
2011,December,4 Western, Macedon Ranges,"1,418","3,306.7"
2011,December,4 Western, Mildura,"5,532","10,675.0"
2011,December,4 Western, Moorabool,"1,305","4,551.8"
2011,December,4 Western, Mount Alexander,980,"5,483.4"
2011,December,4 Western, Moyne,523,"3,235.0"
2011,December,4 Western, Northern Grampians,993,"8,237.9"
2011,December,4 Western, Pyrenees,240,"3,550.8"
2011,December,4 Western, Queenscliffe,300,"9,800.7"
2011,December,4 Western, Southern Grampians,"1,024","6,179.5"
2011,December,4 Western, Surf Coast,"1,072","4,020.1"
2011,December,4 Western, Swan Hill,"1,825","8,746.7"
2011,December,4 Western, Warrnambool,"2,813","8,611.1"
2011,December,4 Western, West Wimmera,116,"2,705.9"
2011,December,4 Western, Yarriambiack,354,"4,928.3"
2011,December,4 Western,Total,"60,615","6,720.8"
2011,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,918,
2011,December,Justice Institutions and Immigration Facilities,Total,918,
2011,December,Unincorporated Vic, Unincorporated Vic,141,
2011,December,Unincorporated Vic,Total,141,
