year,Local Government Area,my_sa4_name,my_sa4_code,Offence Count
2020,Banyule,Melbourne,206,9451
2020,Brimbank,Melbourne,206,20232
2020,Darebin,Melbourne,206,15751
2020,Hobsons Bay,Melbourne,206,5828
2020,Hume,Hume,204,22002
2020,Maribyrnong,Melbourne,206,9158
2020,Melbourne,Melbourne,206,36530
2020,Melton,Melbourne,206,14385
2020,Moonee Valley,Melbourne,206,8407
2020,Moreland,Melbourne,206,13788
2020,Nillumbik,Melbourne,206,2281
2020,Whittlesea,Melbourne,206,16811
2020,Wyndham,Melbourne,206,18284
2020,Yarra,Melbourne,206,14222
2020,Alpine,Hume,204,584
2020,Bass Coast,Latrobe - Gippsland,205,2900
2020,Baw Baw,Latrobe - Gippsland,205,5090
2020,Benalla,Hume,204,1410
2020,Boroondara,Melbourne,206,8023
2020,East Gippsland,Latrobe - Gippsland,205,5157
2020,Greater Shepparton,Shepparton,216,9163
2020,Indigo,Hume,204,575
2020,Knox,Melbourne,206,11990
2020,Latrobe,Latrobe - Gippsland,205,13641
2020,Manningham,Melbourne,206,4848
2020,Mansfield,Hume,204,514
2020,Maroondah,Melbourne,206,8027
2020,Mitchell,Hume,204,5342
2020,Moira,Shepparton,216,2278
2020,Monash,Melbourne,206,12845
2020,Murrindindi,Hume,204,899
2020,South Gippsland,Latrobe - Gippsland,205,1745
2020,Strathbogie,Hume,204,619
2020,Towong,Hume,204,219
2020,Wangaratta,Hume,204,3084
2020,Wellington,Latrobe - Gippsland,205,4844
2020,Whitehorse,Melbourne,206,9341
2020,Wodonga,Hume,204,3575
2020,Yarra Ranges,Melbourne,206,8781
2020,Bayside,Melbourne,206,5592
2020,Cardinia,Melbourne,206,7748
2020,Casey,Melbourne,206,23103
2020,Frankston,Mornington Peninsula,214,14801
2020,Glen Eira,Melbourne,206,7876
2020,Greater Dandenong,Melbourne,206,19380
2020,Kingston,Melbourne,206,11644
2020,Mornington Peninsula,Mornington Peninsula,214,11358
2020,Port Phillip,Melbourne,206,13595
2020,Stonnington,Melbourne,206,11614
2020,Ararat,North West,215,1580
2020,Ballarat,Ballarat,201,9772
2020,Buloke,North West,215,498
2020,Campaspe,Shepparton,216,3792
2020,Central Goldfields,Ballarat,201,1159
2020,Colac-Otway,Geelong,203,1810
2020,Corangamite,Warrnambool and South West,217,870
2020,Gannawarra,North West,215,955
2020,Glenelg,North West,215,1680
2020,Golden Plains,Geelong,203,589
2020,Greater Bendigo,Bendigo,202,11080
2020,Greater Geelong,Geelong,203,23008
2020,Hepburn,Geelong,203,714
2020,Hindmarsh,North West,215,591
2020,Horsham,North West,215,2481
2020,Loddon,Bendigo,202,533
2020,Macedon Ranges,Melbourne,206,2740
2020,Mildura,North West,215,6585
2020,Moorabool,Geelong,203,2698
2020,Mount Alexander,Bendigo,202,953
2020,Moyne,Warrnambool and South West,217,675
2020,Northern Grampians,North West,215,1202
2020,Pyrenees,Ballarat,201,515
2020,Queenscliffe,Geelong,203,123
2020,Southern Grampians,Warrnambool and South West,217,1158
2020,Surf Coast,Geelong,203,1519
2020,Swan Hill,North West,215,2494
2020,Warrnambool,Warrnambool and South West,217,3334
2020,West Wimmera,North West,215,169
2020,Yarriambiack,North West,215,506
2019,Banyule,Melbourne,206,9518
2019,Brimbank,Melbourne,206,19796
2019,Darebin,Melbourne,206,14530
2019,Hobsons Bay,Melbourne,206,6223
2019,Hume,Hume,204,21414
2019,Maribyrnong,Melbourne,206,8907
2019,Melbourne,Melbourne,206,36315
2019,Melton,Melbourne,206,12612
2019,Moonee Valley,Melbourne,206,8280
2019,Moreland,Melbourne,206,14373
2019,Nillumbik,Melbourne,206,2233
2019,Whittlesea,Melbourne,206,16469
2019,Wyndham,Melbourne,206,16761
2019,Yarra,Melbourne,206,13503
2019,Alpine,Hume,204,570
2019,Bass Coast,Latrobe - Gippsland,205,2499
2019,Baw Baw,Latrobe - Gippsland,205,4762
2019,Benalla,Hume,204,1309
2019,Boroondara,Melbourne,206,8139
2019,East Gippsland,Latrobe - Gippsland,205,4899
2019,Greater Shepparton,Shepparton,216,8838
2019,Indigo,Hume,204,599
2019,Knox,Melbourne,206,11928
2019,Latrobe,Latrobe - Gippsland,205,14001
2019,Manningham,Melbourne,206,5140
2019,Mansfield,Hume,204,472
2019,Maroondah,Melbourne,206,8164
2019,Mitchell,Hume,204,4822
2019,Moira,Shepparton,216,2544
2019,Monash,Melbourne,206,11691
2019,Murrindindi,Hume,204,809
2019,South Gippsland,Latrobe - Gippsland,205,1730
2019,Strathbogie,Hume,204,629
2019,Towong,Hume,204,215
2019,Wangaratta,Hume,204,2522
2019,Wellington,Latrobe - Gippsland,205,4589
2019,Whitehorse,Melbourne,206,9222
2019,Wodonga,Hume,204,3744
2019,Yarra Ranges,Melbourne,206,9185
2019,Bayside,Melbourne,206,5103
2019,Cardinia,Melbourne,206,6813
2019,Casey,Melbourne,206,22370
2019,Frankston,Mornington Peninsula,214,14921
2019,Glen Eira,Melbourne,206,7389
2019,Greater Dandenong,Melbourne,206,18921
2019,Kingston,Melbourne,206,12107
2019,Mornington Peninsula,Mornington Peninsula,214,11214
2019,Port Phillip,Melbourne,206,12589
2019,Stonnington,Melbourne,206,11754
2019,Ararat,North West,215,1262
2019,Ballarat,Ballarat,201,11743
2019,Buloke,North West,215,301
2019,Campaspe,Shepparton,216,3961
2019,Central Goldfields,Ballarat,201,1408
2019,Colac-Otway,Geelong,203,1649
2019,Corangamite,Warrnambool and South West,217,647
2019,Gannawarra,North West,215,829
2019,Glenelg,North West,215,1675
2019,Golden Plains,Geelong,203,650
2019,Greater Bendigo,Bendigo,202,11456
2019,Greater Geelong,Geelong,203,21711
2019,Hepburn,Geelong,203,870
2019,Hindmarsh,North West,215,330
2019,Horsham,North West,215,1951
2019,Loddon,Bendigo,202,476
2019,Macedon Ranges,Melbourne,206,2444
2019,Mildura,North West,215,7438
2019,Moorabool,Geelong,203,2127
2019,Mount Alexander,Bendigo,202,1224
2019,Moyne,Warrnambool and South West,217,684
2019,Northern Grampians,North West,215,1104
2019,Pyrenees,Ballarat,201,654
2019,Queenscliffe,Geelong,203,116
2019,Southern Grampians,Warrnambool and South West,217,1215
2019,Surf Coast,Geelong,203,1245
2019,Swan Hill,North West,215,2625
2019,Warrnambool,Warrnambool and South West,217,3452
2019,West Wimmera,North West,215,167
2019,Yarriambiack,North West,215,478
2018,Banyule,Melbourne,206,9406
2018,Brimbank,Melbourne,206,19051
2018,Darebin,Melbourne,206,15237
2018,Hobsons Bay,Melbourne,206,6235
2018,Hume,Hume,204,20703
2018,Maribyrnong,Melbourne,206,8435
2018,Melbourne,Melbourne,206,36138
2018,Melton,Melbourne,206,10682
2018,Moonee Valley,Melbourne,206,8617
2018,Moreland,Melbourne,206,14556
2018,Nillumbik,Melbourne,206,2107
2018,Whittlesea,Melbourne,206,15615
2018,Wyndham,Melbourne,206,14461
2018,Yarra,Melbourne,206,13682
2018,Alpine,Hume,204,579
2018,Bass Coast,Latrobe - Gippsland,205,2211
2018,Baw Baw,Latrobe - Gippsland,205,4490
2018,Benalla,Hume,204,1191
2018,Boroondara,Melbourne,206,6942
2018,East Gippsland,Latrobe - Gippsland,205,4509
2018,Greater Shepparton,Shepparton,216,8744
2018,Indigo,Hume,204,451
2018,Knox,Melbourne,206,10808
2018,Latrobe,Latrobe - Gippsland,205,14608
2018,Manningham,Melbourne,206,4362
2018,Mansfield,Hume,204,480
2018,Maroondah,Melbourne,206,8107
2018,Mitchell,Hume,204,4316
2018,Moira,Shepparton,216,2115
2018,Monash,Melbourne,206,10333
2018,Murrindindi,Hume,204,716
2018,South Gippsland,Latrobe - Gippsland,205,1445
2018,Strathbogie,Hume,204,604
2018,Towong,Hume,204,212
2018,Wangaratta,Hume,204,2388
2018,Wellington,Latrobe - Gippsland,205,4004
2018,Whitehorse,Melbourne,206,8193
2018,Wodonga,Hume,204,3208
2018,Yarra Ranges,Melbourne,206,7658
2018,Bayside,Melbourne,206,4686
2018,Cardinia,Melbourne,206,6132
2018,Casey,Melbourne,206,20940
2018,Frankston,Mornington Peninsula,214,14872
2018,Glen Eira,Melbourne,206,6470
2018,Greater Dandenong,Melbourne,206,18294
2018,Kingston,Melbourne,206,11004
2018,Mornington Peninsula,Mornington Peninsula,214,10797
2018,Port Phillip,Melbourne,206,13132
2018,Stonnington,Melbourne,206,10786
2018,Ararat,North West,215,1348
2018,Ballarat,Ballarat,201,10864
2018,Buloke,North West,215,236
2018,Campaspe,Shepparton,216,3807
2018,Central Goldfields,Ballarat,201,1295
2018,Colac-Otway,Geelong,203,1596
2018,Corangamite,Warrnambool and South West,217,733
2018,Gannawarra,North West,215,750
2018,Glenelg,North West,215,1343
2018,Golden Plains,Geelong,203,684
2018,Greater Bendigo,Bendigo,202,10549
2018,Greater Geelong,Geelong,203,20767
2018,Hepburn,Geelong,203,740
2018,Hindmarsh,North West,215,351
2018,Horsham,North West,215,3021
2018,Loddon,Bendigo,202,490
2018,Macedon Ranges,Melbourne,206,2331
2018,Mildura,North West,215,7330
2018,Moorabool,Geelong,203,2441
2018,Mount Alexander,Bendigo,202,880
2018,Moyne,Warrnambool and South West,217,530
2018,Northern Grampians,North West,215,988
2018,Pyrenees,Ballarat,201,501
2018,Queenscliffe,Geelong,203,303
2018,Southern Grampians,Warrnambool and South West,217,1562
2018,Surf Coast,Geelong,203,1186
2018,Swan Hill,North West,215,2526
2018,Warrnambool,Warrnambool and South West,217,3950
2018,West Wimmera,North West,215,166
2018,Yarriambiack,North West,215,503
2017,Banyule,Melbourne,206,9657
2017,Brimbank,Melbourne,206,17143
2017,Darebin,Melbourne,206,14791
2017,Hobsons Bay,Melbourne,206,6070
2017,Hume,Hume,204,20218
2017,Maribyrnong,Melbourne,206,8023
2017,Melbourne,Melbourne,206,36463
2017,Melton,Melbourne,206,10635
2017,Moonee Valley,Melbourne,206,8605
2017,Moreland,Melbourne,206,12748
2017,Nillumbik,Melbourne,206,2325
2017,Whittlesea,Melbourne,206,15580
2017,Wyndham,Melbourne,206,14230
2017,Yarra,Melbourne,206,13282
2017,Alpine,Hume,204,454
2017,Bass Coast,Latrobe - Gippsland,205,2574
2017,Baw Baw,Latrobe - Gippsland,205,3750
2017,Benalla,Hume,204,1296
2017,Boroondara,Melbourne,206,7314
2017,East Gippsland,Latrobe - Gippsland,205,3965
2017,Greater Shepparton,Shepparton,216,8047
2017,Indigo,Hume,204,491
2017,Knox,Melbourne,206,11280
2017,Latrobe,Latrobe - Gippsland,205,13337
2017,Manningham,Melbourne,206,4903
2017,Mansfield,Hume,204,664
2017,Maroondah,Melbourne,206,8288
2017,Mitchell,Hume,204,4401
2017,Moira,Shepparton,216,1926
2017,Monash,Melbourne,206,11115
2017,Murrindindi,Hume,204,717
2017,South Gippsland,Latrobe - Gippsland,205,1442
2017,Strathbogie,Hume,204,567
2017,Towong,Hume,204,217
2017,Wangaratta,Hume,204,2346
2017,Wellington,Latrobe - Gippsland,205,3666
2017,Whitehorse,Melbourne,206,8300
2017,Wodonga,Hume,204,3296
2017,Yarra Ranges,Melbourne,206,8209
2017,Bayside,Melbourne,206,4761
2017,Cardinia,Melbourne,206,5828
2017,Casey,Melbourne,206,21213
2017,Frankston,Mornington Peninsula,214,14276
2017,Glen Eira,Melbourne,206,6821
2017,Greater Dandenong,Melbourne,206,18103
2017,Kingston,Melbourne,206,10709
2017,Mornington Peninsula,Mornington Peninsula,214,10915
2017,Port Phillip,Melbourne,206,12530
2017,Stonnington,Melbourne,206,9882
2017,Ararat,North West,215,1254
2017,Ballarat,Ballarat,201,11588
2017,Buloke,North West,215,199
2017,Campaspe,Shepparton,216,3379
2017,Central Goldfields,Ballarat,201,1452
2017,Colac-Otway,Geelong,203,1743
2017,Corangamite,Warrnambool and South West,217,1029
2017,Gannawarra,North West,215,569
2017,Glenelg,North West,215,1639
2017,Golden Plains,Geelong,203,688
2017,Greater Bendigo,Bendigo,202,9716
2017,Greater Geelong,Geelong,203,22947
2017,Hepburn,Geelong,203,886
2017,Hindmarsh,North West,215,385
2017,Horsham,North West,215,2393
2017,Loddon,Bendigo,202,347
2017,Macedon Ranges,Melbourne,206,2130
2017,Mildura,North West,215,6496
2017,Moorabool,Geelong,203,2146
2017,Mount Alexander,Bendigo,202,1007
2017,Moyne,Warrnambool and South West,217,622
2017,Northern Grampians,North West,215,1054
2017,Pyrenees,Ballarat,201,527
2017,Queenscliffe,Geelong,203,133
2017,Southern Grampians,Warrnambool and South West,217,1279
2017,Surf Coast,Geelong,203,1166
2017,Swan Hill,North West,215,2414
2017,Warrnambool,Warrnambool and South West,217,3483
2017,West Wimmera,North West,215,188
2017,Yarriambiack,North West,215,478
2016,Banyule,Melbourne,206,10074
2016,Brimbank,Melbourne,206,19145
2016,Darebin,Melbourne,206,16853
2016,Hobsons Bay,Melbourne,206,6703
2016,Hume,Hume,204,23653
2016,Maribyrnong,Melbourne,206,9139
2016,Melbourne,Melbourne,206,37855
2016,Melton,Melbourne,206,12053
2016,Moonee Valley,Melbourne,206,9620
2016,Moreland,Melbourne,206,14866
2016,Nillumbik,Melbourne,206,3174
2016,Whittlesea,Melbourne,206,16669
2016,Wyndham,Melbourne,206,15380
2016,Yarra,Melbourne,206,14005
2016,Alpine,Hume,204,387
2016,Bass Coast,Latrobe - Gippsland,205,2948
2016,Baw Baw,Latrobe - Gippsland,205,4143
2016,Benalla,Hume,204,1604
2016,Boroondara,Melbourne,206,8397
2016,East Gippsland,Latrobe - Gippsland,205,4158
2016,Greater Shepparton,Shepparton,216,8399
2016,Indigo,Hume,204,396
2016,Knox,Melbourne,206,12139
2016,Latrobe,Latrobe - Gippsland,205,14480
2016,Manningham,Melbourne,206,5015
2016,Mansfield,Hume,204,618
2016,Maroondah,Melbourne,206,9196
2016,Mitchell,Hume,204,4709
2016,Moira,Shepparton,216,1946
2016,Monash,Melbourne,206,12536
2016,Murrindindi,Hume,204,715
2016,South Gippsland,Latrobe - Gippsland,205,1503
2016,Strathbogie,Hume,204,678
2016,Towong,Hume,204,243
2016,Wangaratta,Hume,204,2594
2016,Wellington,Latrobe - Gippsland,205,4747
2016,Whitehorse,Melbourne,206,7988
2016,Wodonga,Hume,204,3310
2016,Yarra Ranges,Melbourne,206,8917
2016,Bayside,Melbourne,206,5395
2016,Cardinia,Melbourne,206,7231
2016,Casey,Melbourne,206,24079
2016,Frankston,Mornington Peninsula,214,16909
2016,Glen Eira,Melbourne,206,7521
2016,Greater Dandenong,Melbourne,206,20632
2016,Kingston,Melbourne,206,11567
2016,Mornington Peninsula,Mornington Peninsula,214,12006
2016,Port Phillip,Melbourne,206,13635
2016,Stonnington,Melbourne,206,11592
2016,Ararat,North West,215,1179
2016,Ballarat,Ballarat,201,12089
2016,Buloke,North West,215,230
2016,Campaspe,Shepparton,216,3850
2016,Central Goldfields,Ballarat,201,1508
2016,Colac-Otway,Geelong,203,1996
2016,Corangamite,Warrnambool and South West,217,959
2016,Gannawarra,North West,215,612
2016,Glenelg,North West,215,1674
2016,Golden Plains,Geelong,203,865
2016,Greater Bendigo,Bendigo,202,10853
2016,Greater Geelong,Geelong,203,22962
2016,Hepburn,Geelong,203,917
2016,Hindmarsh,North West,215,370
2016,Horsham,North West,215,2824
2016,Loddon,Bendigo,202,478
2016,Macedon Ranges,Melbourne,206,2456
2016,Mildura,North West,215,6518
2016,Moorabool,Geelong,203,2534
2016,Mount Alexander,Bendigo,202,1254
2016,Moyne,Warrnambool and South West,217,646
2016,Northern Grampians,North West,215,1348
2016,Pyrenees,Ballarat,201,561
2016,Queenscliffe,Geelong,203,143
2016,Southern Grampians,Warrnambool and South West,217,1350
2016,Surf Coast,Geelong,203,1352
2016,Swan Hill,North West,215,2224
2016,Warrnambool,Warrnambool and South West,217,3246
